experiment,site,start_or_end,latitude,longitude,time
sim,1,start,42.46231101,-72.22053397,2021-06-19T16:09:25Z
sim,2,start,42.45977003,-72.22561399,2021-06-19T16:55:07Z
sim,3,start,42.45695698,-72.22822504,2021-06-19T17:39:06Z
sim,4,start,42.45554597,-72.23161602,2021-06-19T18:16:55Z
sim,5,start,42.452876,-72.23341201,2021-06-19T18:55:07Z
sim,6,start,42.449798,-72.23432296,2021-06-20T14:48:53Z
sim,7,start,42.44667901,-72.23478002,2021-06-20T15:20:43Z
sim,8,start,42.44404399,-72.23737196,2021-06-20T15:49:00Z
sim,9,start,42.44103899,-72.23870996,2021-06-20T16:18:59Z
sim,10,start,42.43808404,-72.23819699,2021-06-20T16:51:45Z
sim,11,start,42.43616098,-72.23807797,2021-06-22T20:28:45Z
sim,12,start,42.43364397,-72.23586104,2021-06-22T20:15:24Z
sim,13,start,42.43074903,-72.23481003,2021-06-22T20:03:53Z
sim,14,start,42.42781101,-72.23471297,2021-06-22T19:49:10Z
sim,15,start,42.42456302,-72.23018699,2021-06-22T14:35:50Z
sim,16,start,42.427378,-72.231166,2021-06-22T14:42:26Z
sim,17,start,42.42913996,-72.24888803,2021-06-22T16:00:26Z
sim,18,start,42.43083403,-72.25229803,2021-06-22T16:46:08Z
sim,19,start,42.43348598,-72.254161,2021-06-22T17:45:10Z
sim,20,start,42.42956601,-72.25534804,2021-06-22T18:17:36Z
two,1,start,42.45669404,-72.37374804,2021-06-05T14:08:26Z
two,2,start,42.45378703,-72.373281,2021-06-05T15:34:15Z
two,3,start,42.45099099,-72.37291203,2021-06-05T16:44:44Z
two,4,start,42.44799899,-72.37239302,2021-06-05T17:33:43Z
two,5,start,42.44664498,-72.37515,2021-06-05T18:04:50Z
two,6,start,42.44155297,-72.37120204,2021-06-05T14:37:56Z
two,7,start,42.439732,-72.368579,2021-06-05T15:21:30Z
two,8,start,42.44150997,-72.36670003,2021-06-05T17:42:44Z
two,9,start,42.438408,-72.36545599,2021-06-05T18:35:16Z
two,10,start,42.43757701,-72.361919,2021-06-05T16:49:58Z
two,11,start,42.42545997,-72.36018998,2021-06-06T19:01:31Z
two,12,start,42.42369398,-72.35695397,2021-06-06T19:31:12Z
two,13,start,42.42103298,-72.35544004,2021-06-06T19:48:18Z
two,14,start,42.41817199,-72.35483101,2021-06-06T20:00:57Z
two,15,start,42.41616603,-72.35186901,2021-06-06T20:22:32Z
two,16,start,42.41406402,-72.35476102,2021-06-05T17:01:15Z
two,17,start,42.41138399,-72.35474501,2021-06-05T16:36:33Z
two,18,start,42.40906103,-72.35295799,2021-06-05T16:08:00Z
two,19,start,42.40662198,-72.351422,2021-06-05T15:37:21Z
two,20,start,42.40410296,-72.35000596,2021-06-05T15:03:25Z
one,1,start,42.44067172,-72.21023494,NA
one,2,start,42.43865267,-72.21232702,NA
one,3,start,42.43655838,-72.21454787,NA
one,4,start,42.43426999,-72.21593192,NA
one,5,start,42.4316034,-72.21634527,NA
one,6,start,42.42902181,-72.21608781,NA
one,7,start,42.42678046,-72.21674272,NA
one,8,start,42.42421455,-72.21862025,NA
one,9,start,42.42163267,-72.21997208,NA
one,10,start,42.42259099,-72.22499318,NA
one,11,start,42.42075504,-72.23049704,2021-06-12T14:06:05Z
one,12,start,42.41868203,-72.23303701,2021-06-12T14:49:06Z
one,13,start,42.41750102,-72.23633604,2021-06-12T15:24:53Z
one,14,start,42.41710698,-72.24050797,2021-06-12T16:04:45Z
one,15,start,42.41625002,-72.24421201,2021-06-12T16:39:53Z
one,16,start,42.42404619,-72.23379297,NA
one,17,start,42.42534413,-72.23716744,NA
one,18,start,42.42681515,-72.24025156,NA
one,19,start,42.42724867,-72.24234293,NA
one,20,start,42.42834401,-72.24552596,NA
four,1,start,42.40140936,-72.34904041,NA
four,2,start,42.39938909,-72.34757055,NA
four,3,start,42.39733703,-72.34600419,NA
four,4,start,42.39498377,-72.3454463,NA
four,5,start,42.39063848,-72.34740327,NA
four,6,start,42.39219951,-72.34120203,NA
four,7,start,42.39069398,-72.34428124,NA
four,8,start,42.38800467,-72.34397457,NA
four,9,start,42.38445446,-72.34433061,NA
four,10,start,42.3819068,-72.34378807,NA
four,11,start,42.37935488,-72.34290828,NA
four,12,end,42.37670604,-72.34154301,2021-05-21T18:44:33Z
four,13,start,42.37453231,-72.3408246,NA
four,14,start,42.37188502,-72.339859,2021-05-21T17:44:19Z
four,15,start,42.36922896,-72.33941602,2021-05-21T16:15:28Z
four,16,start,42.36693091,-72.33936337,NA
four,17,start,42.36449465,-72.33882139,NA
four,18,start,42.35959385,-72.33844508,NA
four,19,start,42.35726304,-72.33815542,NA
four,20,start,42.35470213,-72.33626713,NA
