wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
300.342,22.67,19.85,18.16,10.59,9.53,15.35,8.04,11.4,12.45,10.31
300.715,22.66,19.85,18.11,10.62,9.57,15.35,7.98,11.36,12.44,10.29
301.088,22.53,19.8,18.07,10.56,9.52,15.28,7.94,11.21,12.31,10.23
301.462,22.64,19.89,18.05,10.59,9.63,15.35,7.92,11.24,12.26,10.26
301.835,22.68,19.95,18.07,10.62,9.76,15.35,7.9,11.22,12.26,10.28
302.208,22.78,19.92,18.01,10.69,9.83,15.37,7.93,11.2,12.22,10.3
302.581,22.87,19.94,18.01,10.85,9.96,15.35,7.95,11.19,12.18,10.38
302.954,22.84,19.94,18.06,10.82,10.04,15.36,7.95,11.22,12.15,10.38
303.327,22.82,20,18.08,10.85,10.16,15.42,7.95,11.18,12.11,10.31
303.7,22.85,20.02,18.07,10.85,10.2,15.39,7.87,11.13,12.08,10.24
304.073,22.85,20.05,18.1,10.88,10.14,15.36,7.85,11.16,12.1,10.16
304.446,22.9,20.01,18.1,10.96,10.21,15.37,7.86,11.03,12.08,10.14
304.819,22.88,20.02,18.03,11.02,10.26,15.35,7.88,11,12.07,10.09
305.192,22.89,20.02,17.99,11.1,10.34,15.41,7.94,11.08,12.08,10.14
305.564,22.79,20.05,17.96,11.06,10.27,15.36,7.91,11,12.04,10.09
305.937,22.77,20.04,17.93,11.07,10.26,15.34,7.86,11.01,12,10.04
306.31,22.66,20.05,17.9,11.14,10.23,15.31,7.78,10.94,11.96,9.93
306.682,22.58,20.01,17.92,11.12,10.24,15.32,7.74,10.9,11.93,9.91
307.055,22.54,19.99,17.87,11.18,10.27,15.3,7.65,10.83,11.84,9.87
307.428,22.56,19.98,17.85,11.24,10.23,15.25,7.54,10.85,11.82,9.82
307.8,22.53,19.95,17.78,11.25,10.27,15.24,7.53,10.82,11.74,9.78
308.173,22.47,19.88,17.72,11.31,10.4,15.26,7.57,10.8,11.67,9.81
