wavelength ,reflectance 
300,0.09971
301,0.09949
302,0.09925
303,0.09898
304,0.0987
305,0.09841
306,0.09809
307,0.09773
308,0.09736
309,0.09698
310,0.09657
311,0.09616
312,0.09572
313,0.09528
314,0.09484
315,0.09437
316,0.09388
317,0.09337
318,0.09286
319,0.09233
320,0.0918
321,0.09125
322,0.09069
323,0.09013
324,0.08956
325,0.08897
326,0.08838
327,0.08779
328,0.0872
329,0.08661
330,0.08603
331,0.08546
332,0.0849
333,0.08433
334,0.08377
335,0.0832
336,0.08265
337,0.08209
338,0.08154
339,0.08099
340,0.08047
341,0.07996
342,0.07947
343,0.07901
344,0.07857
345,0.07817
346,0.07779
347,0.07743
348,0.07711
349,0.07682
350,0.07656
351,0.07634
352,0.07616
353,0.07601
354,0.0759
355,0.07583
356,0.07579
357,0.07579
358,0.07582
359,0.07589
360,0.07598
361,0.07613
362,0.07631
363,0.07652
364,0.07678
365,0.07708
366,0.07743
367,0.07782
368,0.07825
369,0.07872
370,0.07924
371,0.07979
372,0.08039
373,0.08103
374,0.08172
375,0.08246
376,0.08324
377,0.08406
378,0.08494
379,0.08586
380,0.08682
381,0.08783
382,0.08888
383,0.08999
384,0.09115
385,0.09234
386,0.09359
387,0.09489
388,0.09623
389,0.09762
390,0.09906
391,0.10053
392,0.10205
393,0.10362
394,0.10524
395,0.10689
396,0.10858
397,0.11031
398,0.11209
399,0.1139
400,0.11574
401,0.11761
402,0.11953
403,0.12148
404,0.12347
405,0.12549
406,0.12755
407,0.12964
408,0.13176
409,0.13391
410,0.13609
411,0.1383
412,0.14053
413,0.14279
414,0.14509
415,0.1474
416,0.14974
417,0.1521
418,0.15449
419,0.1569
420,0.15933
421,0.16177
422,0.16424
423,0.16672
424,0.1692
425,0.17169
426,0.1742
427,0.17671
428,0.17922
429,0.18175
430,0.18428
431,0.18682
432,0.18936
433,0.19189
434,0.19442
435,0.19694
436,0.19946
437,0.20196
438,0.20446
439,0.20695
440,0.20943
441,0.2119
442,0.21436
443,0.21681
444,0.21925
445,0.22168
446,0.22409
447,0.22649
448,0.22888
449,0.23126
450,0.23361
451,0.23595
452,0.23827
453,0.24057
454,0.24284
455,0.2451
456,0.24733
457,0.24956
458,0.25177
459,0.25395
460,0.25613
461,0.25828
462,0.26041
463,0.26251
464,0.26456
465,0.26658
466,0.26858
467,0.27053
468,0.27244
469,0.27434
470,0.27621
471,0.27805
472,0.27986
473,0.28165
474,0.28342
475,0.28517
476,0.28689
477,0.28859
478,0.29027
479,0.29191
480,0.29354
481,0.29514
482,0.29671
483,0.29826
484,0.29978
485,0.30127
486,0.30273
487,0.30418
488,0.30559
489,0.30698
490,0.30833
491,0.30966
492,0.31095
493,0.31222
494,0.31345
495,0.31465
496,0.31583
497,0.31698
498,0.31809
499,0.31918
500,0.32023
501,0.32125
502,0.32223
503,0.32317
504,0.32409
505,0.32497
506,0.32582
507,0.32662
508,0.32739
509,0.32812
510,0.32882
511,0.32949
512,0.33013
513,0.33074
514,0.33134
515,0.3319
516,0.33243
517,0.33293
518,0.3334
519,0.33382
520,0.33422
521,0.33459
522,0.33492
523,0.33523
524,0.3355
525,0.33574
526,0.33593
527,0.33609
528,0.33623
529,0.33632
530,0.33639
531,0.33642
532,0.33643
533,0.33641
534,0.33636
535,0.33628
536,0.33618
537,0.33604
538,0.33588
539,0.3357
540,0.3355
541,0.33528
542,0.33505
543,0.3348
544,0.33454
545,0.33425
546,0.33396
547,0.33365
548,0.33333
549,0.333
550,0.33266
551,0.3323
552,0.33193
553,0.33155
554,0.33114
555,0.33073
556,0.33029
557,0.32985
558,0.32938
559,0.32889
560,0.32838
561,0.32784
562,0.32727
563,0.32668
564,0.32606
565,0.32542
566,0.32475
567,0.32406
568,0.32334
569,0.3226
570,0.32183
571,0.32103
572,0.32021
573,0.31937
574,0.3185
575,0.31761
576,0.3167
577,0.31577
578,0.31482
579,0.31385
580,0.31287
581,0.31187
582,0.31085
583,0.30981
584,0.30876
585,0.30769
586,0.3066
587,0.3055
588,0.30437
589,0.30323
590,0.30206
591,0.30087
592,0.29965
593,0.29841
594,0.29714
595,0.29584
596,0.29451
597,0.29316
598,0.29179
599,0.29039
600,0.28897
601,0.28753
602,0.28608
603,0.2846
604,0.2831
605,0.28158
606,0.28005
607,0.27851
608,0.27695
609,0.27539
610,0.27383
611,0.27227
612,0.27071
613,0.26916
614,0.26761
615,0.26606
616,0.26453
617,0.263
618,0.26148
619,0.25996
