wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
300.342,5.68,6.33,6.01,6.55,5.18,6.24,3.21,7.75,5.47,5.05
300.715,5.69,6.38,6.05,6.58,5.23,6.31,3.25,7.81,5.52,5.08
301.088,5.59,6.29,5.93,6.49,5.16,6.17,3.22,7.65,5.49,5.05
301.462,5.62,6.29,5.89,6.48,5.12,6.16,3.24,7.58,5.54,5.01
301.835,5.68,6.28,5.89,6.53,5.16,6.17,3.3,7.64,5.61,4.97
302.208,5.72,6.29,5.91,6.56,5.2,6.16,3.29,7.63,5.7,4.93
302.581,5.72,6.25,5.91,6.61,5.21,6.23,3.3,7.6,5.74,4.94
302.954,5.73,6.23,5.91,6.65,5.13,6.2,3.3,7.61,5.73,4.93
303.327,5.71,6.25,5.91,6.69,5.19,6.22,3.3,7.63,5.76,4.93
303.7,5.71,6.24,5.91,6.66,5.2,6.2,3.36,7.65,5.76,4.95
304.073,5.81,6.3,5.99,6.73,5.22,6.26,3.4,7.72,5.83,5.06
304.446,5.77,6.29,6.02,6.71,5.27,6.31,3.37,7.69,5.88,5
304.819,5.72,6.23,5.97,6.67,5.21,6.29,3.35,7.67,5.82,4.97
305.192,5.78,6.22,6.01,6.68,5.25,6.38,3.38,7.74,5.86,5.02
305.564,5.77,6.2,6.02,6.72,5.23,6.41,3.37,7.79,5.84,4.98
305.937,5.81,6.24,6.07,6.74,5.24,6.44,3.36,7.75,5.82,4.99
306.31,5.84,6.35,6.1,6.76,5.29,6.51,3.43,7.78,5.83,5.02
306.682,5.88,6.41,6.15,6.77,5.35,6.5,3.48,7.86,5.85,5.1
307.055,5.87,6.34,6.11,6.75,5.36,6.49,3.47,7.84,5.85,5.13
307.428,5.9,6.38,6.11,6.72,5.32,6.51,3.46,7.86,5.86,5.13
307.8,5.91,6.32,6.1,6.81,5.28,6.53,3.36,7.88,5.85,5.08
308.173,5.83,6.2,6,6.76,5.2,6.46,3.31,7.86,5.81,4.98
308.545,5.93,6.25,6.06,6.92,5.21,6.46,3.38,7.98,5.86,5.05
308.917,6.02,6.32,6.11,7,5.3,6.56,3.42,8.12,5.93,5.14
309.29,6.07,6.37,6.19,7.05,5.29,6.57,3.44,8.15,5.93,5.15
309.662,6.11,6.43,6.18,7.03,5.28,6.59,3.47,8.17,5.94,5.21
310.034,6.08,6.47,6.12,7.05,5.26,6.63,3.42,8.18,5.96,5.27
