wavelength ,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
300.342,17.14,13.83,16.23,11.64,11.82,16.01,12.32,12.69,13.53,10.33
300.715,17.14,13.86,16.25,11.8,11.94,16.05,12.39,12.67,13.63,10.43
301.088,16.96,13.75,16.14,11.65,11.87,15.94,12.33,12.57,13.58,10.34
301.462,16.99,13.78,16.19,11.56,11.81,15.85,12.29,12.49,13.54,10.31
301.835,16.93,13.82,16.15,11.53,11.85,15.88,12.33,12.57,13.43,10.32
302.208,16.87,13.77,16.2,11.5,11.86,15.94,12.21,12.48,13.34,10.31
302.581,16.93,13.8,16.24,11.51,11.83,15.94,12.16,12.39,13.28,10.24
302.954,16.95,13.75,16.2,11.45,11.8,15.9,12.14,12.38,13.38,10.2
303.327,16.9,13.7,16.21,11.52,11.85,15.94,12.19,12.34,13.39,10.23
303.7,16.79,13.66,16.24,11.51,11.93,15.9,12.15,12.4,13.33,10.19
304.073,16.72,13.69,16.27,11.55,11.97,16.05,12.24,12.41,13.48,10.16
304.446,16.68,13.54,16.24,11.48,11.96,15.99,12.11,12.32,13.4,10.07
304.819,16.65,13.48,16.17,11.39,11.88,15.88,12.01,12.26,13.27,9.93
305.192,16.75,13.48,16.11,11.39,11.87,15.83,12.06,12.19,13.25,9.95
305.564,16.77,13.42,16.06,11.42,11.88,15.87,12.06,12.16,13.25,9.93
305.937,16.82,13.38,15.98,11.44,11.79,15.82,12.13,12.1,13.35,9.86
306.31,16.82,13.38,15.96,11.42,11.75,15.77,12.1,12.15,13.41,9.83
306.682,16.85,13.36,15.88,11.41,11.77,15.69,12.13,12.22,13.41,9.94
307.055,16.71,13.26,15.9,11.36,11.71,15.63,12.07,12.13,13.27,9.92
307.428,16.66,13.22,15.85,11.31,11.63,15.69,11.95,12.12,13.18,9.85
307.8,16.68,13.16,15.75,11.26,11.53,15.63,11.93,12.02,13.13,9.86
308.173,16.67,13.14,15.53,11.15,11.5,15.5,11.82,11.97,13.11,9.74
308.545,16.7,13.18,15.51,11.24,11.55,15.54,11.97,12.07,13.12,9.77
308.917,16.75,13.18,15.51,11.34,11.55,15.57,12.04,12.16,13.26,9.84
309.29,16.74,13.14,15.5,11.39,11.53,15.61,11.99,12.23,13.31,9.75
309.662,16.73,13.08,15.39,11.32,11.53,15.53,12,12.19,13.26,9.68
310.034,16.67,12.99,15.4,11.26,11.46,15.48,11.86,12.08,13.15,9.64
310.407,16.54,12.9,15.31,11.26,11.43,15.47,11.82,11.96,13.06,9.54
310.779,16.37,12.85,15.24,11.2,11.33,15.41,11.76,11.84,12.97,9.33
311.151,16.32,12.76,15.07,11.1,11.34,15.32,11.66,11.82,12.89,9.29
311.523,16.34,12.79,15.02,11.03,11.31,15.21,11.69,11.8,12.88,9.29
311.895,16.28,12.79,15.03,11.01,11.31,15.23,11.72,11.84,12.89,9.21
312.267,16.25,12.79,15.1,11.01,11.26,15.21,11.66,11.87,12.86,9.29
312.639,16.22,12.8,15.11,10.89,11.16,15.16,11.62,11.84,12.72,9.3
313.011,16.11,12.73,15.08,10.76,11.1,15.05,11.5,11.74,12.55,9.24
313.383,16.03,12.72,15.09,10.7,11.03,14.96,11.43,11.65,12.5,9.18
313.755,15.91,12.66,15.14,10.74,11.07,14.99,11.39,11.67,12.53,9.2
314.127,15.87,12.68,15.14,10.69,11.12,14.89,11.41,11.67,12.54,9.22
314.498,15.94,12.69,15.12,10.61,11.13,14.89,11.45,11.79,12.59,9.35
314.87,15.91,12.57,15.13,10.55,11.18,14.9,11.43,11.8,12.52,9.38
315.242,16.11,12.71,15.35,10.72,11.31,15.07,11.58,11.88,12.75,9.53
315.614,16.08,12.67,15.35,10.71,11.33,15.08,11.56,11.9,12.68,9.51
315.985,16.1,12.65,15.32,10.74,11.37,15.01,11.42,11.89,12.62,9.56
316.357,16.09,12.59,15.3,10.69,11.34,14.86,11.36,11.73,12.54,9.48
316.728,16.11,12.53,15.23,10.68,11.34,14.87,11.27,11.65,12.57,9.44
317.1,16.1,12.53,15.2,10.75,11.43,14.82,11.26,11.62,12.6,9.47
317.471,16,12.52,15.12,10.71,11.43,14.82,11.23,11.61,12.51,9.56
317.843,16.06,12.6,15.13,10.75,11.47,14.84,11.23,11.63,12.52,9.61
318.214,16.09,12.56,15.11,10.85,11.47,14.94,11.14,11.66,12.54,9.63
318.585,16.09,12.65,15.13,10.94,11.52,14.98,11.15,11.7,12.49,9.71
318.957,16.16,12.76,15.2,10.98,11.52,15.03,11.26,11.83,12.56,9.76
319.328,16.08,12.75,15.06,10.93,11.46,14.98,11.24,11.8,12.44,9.72
319.699,16.12,12.74,15.05,11.02,11.56,15.04,11.32,11.8,12.53,9.77
320.07,16.12,12.78,15.03,11.03,11.58,15.08,11.42,11.82,12.6,9.73
320.441,16.03,12.76,15.01,11.08,11.62,15.17,11.47,11.92,12.56,9.81
320.813,15.89,12.74,15.06,11.12,11.57,15.11,11.48,11.9,12.55,9.73
321.184,15.85,12.78,15.09,11.12,11.49,15.2,11.59,11.9,12.56,9.73
