wavelength,real_1,real_2,real_3,real_4,real_5,real_6,real_7,real_8,real_9,real_10
300.342,1.44,1.41,0.46,1.12,0.97,1.02,1,0.74,0.75,0.38
300.715,1.45,1.32,0.45,1.08,0.95,1.02,0.98,0.67,0.74,0.31
301.088,1.41,1.26,0.42,1.03,0.86,0.86,0.9,0.63,0.69,0.3
301.462,1.42,1.24,0.42,1.05,0.86,0.79,0.86,0.61,0.63,0.25
301.835,1.37,1.21,0.36,0.97,0.82,0.79,0.85,0.45,0.47,0.11
302.208,1.43,1.18,0.4,1.03,0.77,0.85,0.88,0.36,0.52,0.05
302.581,1.49,1.2,0.44,1.13,0.74,0.93,0.95,0.34,0.54,0.08
302.954,1.49,1.23,0.41,1.06,0.69,0.94,0.93,0.35,0.54,0.1
303.327,1.49,1.19,0.45,1.14,0.73,1.03,0.94,0.38,0.53,0.1
303.7,1.54,1.18,0.48,1.16,0.78,1.07,1,0.43,0.54,0.14
304.073,1.56,1.21,0.51,1.13,0.76,1.11,1,0.39,0.52,0.14
304.446,1.58,1.17,0.53,1.09,0.75,1.11,1.02,0.34,0.44,0.14
304.819,1.68,1.27,0.59,1.21,0.87,1.18,1.07,0.46,0.47,0.28
305.192,1.66,1.27,0.61,1.22,0.91,1.32,1.03,0.36,0.46,0.2
305.564,1.66,1.3,0.58,1.21,0.87,1.37,1.07,0.34,0.49,0.24
305.937,1.67,1.31,0.65,1.21,0.88,1.42,1.11,0.42,0.56,0.28
306.31,1.67,1.35,0.66,1.11,0.9,1.4,1.1,0.46,0.5,0.34
306.682,1.63,1.32,0.61,1.06,0.83,1.39,1.06,0.47,0.48,0.35
307.055,1.58,1.32,0.63,1.17,0.85,1.35,1.04,0.49,0.48,0.37
307.428,1.58,1.31,0.57,1.15,0.86,1.27,1.01,0.5,0.48,0.35
307.8,1.46,1.25,0.52,1.1,0.73,1.23,0.95,0.38,0.44,0.31
308.173,1.42,1.18,0.48,1.09,0.67,1.24,0.94,0.42,0.43,0.31
308.545,1.43,1.19,0.47,1.16,0.7,1.26,0.95,0.42,0.45,0.31
308.917,1.31,1.11,0.38,1.09,0.56,1.21,0.95,0.25,0.42,0.25
309.29,1.28,1.05,0.33,1.04,0.47,1.16,0.92,0.2,0.4,0.19
309.662,1.23,1.07,0.37,1.08,0.39,1.09,0.92,0.11,0.35,0.09
310.034,1.3,1.13,0.38,1.15,0.44,1.23,0.92,0.19,0.42,0.23
310.407,1.3,1.11,0.37,1.17,0.37,1.24,0.87,0.12,0.38,0.21
310.779,1.28,1.08,0.34,1.1,0.39,1.18,0.85,0.07,0.33,0.11
311.151,1.33,1.09,0.36,1.14,0.46,1.2,0.88,0.07,0.36,0.11
311.523,1.33,1.13,0.38,1.07,0.5,1.19,0.9,-0.02,0.36,0.15
311.895,1.48,1.22,0.45,1.1,0.61,1.27,1,0.12,0.44,0.13
312.267,1.51,1.26,0.48,1.1,0.61,1.28,1,0.1,0.39,0.17
312.639,1.44,1.28,0.44,1.06,0.55,1.2,1.02,0.07,0.39,0.16
313.011,1.46,1.31,0.49,1.04,0.57,1.16,1.03,0.14,0.39,0.16
313.383,1.5,1.36,0.49,1.08,0.62,1.18,1.1,0.21,0.37,0.29
313.755,1.54,1.3,0.48,1.08,0.65,1.22,1.04,0.27,0.38,0.36
314.127,1.43,1.22,0.46,0.95,0.51,1.02,0.99,0.18,0.24,0.23
314.498,1.45,1.2,0.4,0.92,0.54,0.98,1.01,0.24,0.31,0.18
314.87,1.46,1.17,0.41,0.94,0.51,0.94,1.03,0.25,0.33,0.21
315.242,1.47,1.1,0.4,0.89,0.35,0.94,1.05,0.23,0.27,0.15
315.614,1.43,1.03,0.42,0.88,0.21,0.94,1.01,0.24,0.26,0.16
315.985,1.29,0.95,0.35,0.77,0.19,0.84,0.93,0.1,0.22,0.14
316.357,1.26,0.97,0.34,0.75,0.21,0.8,0.96,0.12,0.24,0.08
316.728,1.29,0.98,0.38,0.72,0.22,0.87,1,0.17,0.27,0.11
317.1,1.27,0.99,0.36,0.63,0.16,0.85,0.97,0.1,0.25,0.1
317.471,1.26,1.04,0.38,0.57,0.12,0.78,0.96,0.03,0.24,0.03
317.843,1.23,1.09,0.4,0.55,0.12,0.8,0.98,-0.01,0.25,0.03
318.214,1.24,1.09,0.3,0.54,0.12,0.74,0.95,-0.08,0.23,-0.01
318.585,1.18,1.19,0.4,0.59,0.1,0.82,1.02,0.01,0.22,0.14
318.957,1.2,1.29,0.37,0.58,0.19,0.85,1.09,0.08,0.25,0.22
319.328,1.19,1.39,0.38,0.62,0.32,0.87,1.19,0.08,0.35,0.3
319.699,1.23,1.41,0.35,0.62,0.32,0.79,1.23,0.08,0.29,0.33
320.07,1.28,1.42,0.41,0.71,0.27,0.85,1.27,0.19,0.33,0.41
320.441,1.31,1.4,0.43,0.76,0.3,0.88,1.3,0.21,0.42,0.42
320.813,1.35,1.44,0.43,0.8,0.31,0.86,1.28,0.19,0.41,0.5
321.184,1.38,1.49,0.41,0.83,0.41,0.89,1.3,0.3,0.49,0.58
321.555,1.38,1.44,0.36,0.82,0.42,0.91,1.34,0.29,0.53,0.65
321.926,1.43,1.42,0.34,0.81,0.47,0.9,1.4,0.29,0.5,0.69
