wavelength ,real_1,real_2,real_3,real_4,real_5,real_6,real_7,real_8,real_9,real_10
300.342,12.28,12.91,14.72,13.74,16.92,13.19,15.11,13.16,14.1,14.89
300.715,12.25,12.86,14.72,13.63,17.03,13.19,15.13,13.13,14.09,15.62
301.088,12.03,12.79,14.61,13.52,16.8,13.09,14.98,13.06,13.93,14.46
301.462,12,12.7,14.58,13.46,16.64,12.97,14.92,12.99,13.94,13.03
301.835,11.88,12.59,14.47,13.28,16.57,12.87,14.72,12.84,13.89,14.26
302.208,11.87,12.46,14.44,13.26,16.37,12.94,14.73,12.78,13.84,11.87
302.581,11.86,12.51,14.51,13.25,16.27,12.94,14.75,12.88,13.85,15.87
302.954,11.71,12.45,14.46,13.09,16.18,12.91,14.59,12.83,13.85,13.47
303.327,11.69,12.39,14.41,13.14,16.06,12.86,14.56,12.83,13.82,15.68
303.7,11.64,12.38,14.43,13.06,15.94,12.91,14.59,12.92,13.81,15.87
304.073,11.65,12.35,14.38,13.01,15.89,12.86,14.48,12.91,13.8,13.01
304.446,11.53,12.25,14.22,12.91,15.79,12.87,14.4,12.85,13.77,14.65
304.819,11.51,12.18,14.14,12.94,15.63,12.93,14.49,12.87,13.75,15.87
305.192,11.59,12.17,14.14,12.87,15.63,12.93,14.45,12.83,13.77,13.52
305.564,11.55,12.14,14.14,12.81,15.5,12.85,14.51,12.84,13.69,14.5
305.937,11.51,12.11,14.18,12.81,15.37,12.88,14.62,12.81,13.61,13.21
306.31,11.41,12.13,14.2,12.65,15.28,12.87,14.63,12.8,13.51,14.66
306.682,11.37,11.98,13.98,12.59,15.12,12.93,14.6,12.69,13.43,14.57
307.055,11.43,11.91,13.95,12.54,14.94,12.95,14.58,12.75,13.34,15.97
307.428,11.28,11.85,13.91,12.41,14.8,12.88,14.45,12.7,13.23,14.03
307.8,11.17,11.77,13.77,12.32,14.63,12.83,14.32,12.58,13.08,13.58
308.173,11.06,11.74,13.69,12.27,14.53,12.78,14.37,12.53,12.99,14.26
308.545,11.09,11.71,13.7,12.28,14.39,12.71,14.33,12.52,12.95,14.49
308.917,10.94,11.71,13.69,12.14,14.18,12.58,14.17,12.46,12.9,13.59
309.29,10.72,11.49,13.6,12,13.95,12.43,14.07,12.41,12.79,13.88
309.662,10.59,11.41,13.5,11.88,13.81,12.44,13.83,12.31,12.73,11.24
310.034,10.61,11.43,13.5,11.86,13.8,12.49,13.76,12.37,12.75,14.59
310.407,10.54,11.36,13.34,11.74,13.66,12.31,13.55,12.29,12.68,13.88
310.779,10.37,11.34,13.32,11.54,13.5,12.13,13.43,12.19,12.6,12.7
311.151,10.29,11.39,13.3,11.49,13.42,12.09,13.4,12.11,12.6,11.16
311.523,10.32,11.43,13.22,11.41,13.28,12,13.32,12.04,12.55,11.5
311.895,10.29,11.48,13.31,11.35,13.3,12,13.3,12.06,12.58,12.37
312.267,10.25,11.48,13.31,11.24,13.23,12,13.22,11.99,12.6,14.18
312.639,10.17,11.47,13.14,11.14,13.06,11.85,13.19,11.93,12.5,12.4
313.011,10.19,11.44,13.1,11.04,12.98,11.78,13.09,11.85,12.4,13.73
313.383,10.21,11.55,13.01,11.03,12.94,11.8,13.12,11.8,12.41,15.34
313.755,10.18,11.58,13,10.99,12.84,11.69,13.1,11.8,12.36,12.64
314.127,9.99,11.54,12.78,10.83,12.66,11.48,12.93,11.66,12.25,12.05
314.498,9.89,11.49,12.73,10.8,12.62,11.45,12.9,11.62,12.24,14.3
314.87,9.81,11.37,12.7,10.71,12.56,11.47,12.83,11.53,12.2,12.68
315.242,9.72,11.29,12.7,10.68,12.41,11.43,12.78,11.47,12.14,11.79
315.614,9.62,11.09,12.64,10.52,12.34,11.34,12.68,11.38,12.04,13.89
315.985,9.49,11.02,12.55,10.46,12.16,11.26,12.53,11.23,11.93,12.2
316.357,9.43,10.89,12.49,10.4,11.94,11.15,12.41,11.12,11.79,14.26
316.728,9.41,10.88,12.55,10.29,11.92,11.18,12.23,11.06,11.77,15.62
317.1,9.22,10.77,12.47,10.27,11.8,11.06,12.12,10.96,11.7,15.07
317.471,9.09,10.69,12.45,10.2,11.67,10.99,11.96,10.85,11.61,12.65
317.843,9.03,10.64,12.36,10.18,11.57,11.09,12.01,10.79,11.53,11.39
318.214,8.99,10.51,12.37,10.09,11.37,11.03,11.86,10.75,11.4,13.72
318.585,8.94,10.5,12.35,10.06,11.34,11.02,11.91,10.69,11.41,10.27
318.957,8.97,10.59,12.34,10.1,11.22,10.93,11.82,10.72,11.33,12.25
319.328,8.99,10.59,12.27,10.04,11.24,10.87,11.73,10.68,11.3,13.94
319.699,8.91,10.63,12.26,10.02,11.21,10.88,11.72,10.62,11.27,12.83
320.07,8.93,10.57,12.26,9.95,11.23,10.87,11.69,10.6,11.26,12.09
320.441,8.91,10.63,12.14,9.8,11.25,10.84,11.78,10.59,11.25,9.44
320.813,8.77,10.5,12.17,9.7,11.13,10.85,11.79,10.53,11.21,10.98
321.184,8.87,10.54,12.13,9.57,11.08,10.98,11.73,10.5,11.2,11.85
321.555,8.84,10.53,12.11,9.43,11.04,10.97,11.63,10.47,11.15,11.01
321.926,8.83,10.44,12.06,9.42,11.01,10.88,11.48,10.46,11.08,13.23
322.297,8.72,10.51,12.08,9.39,11.11,10.93,11.5,10.39,11.18,10.33
322.667,8.74,10.48,12,9.31,10.95,10.86,11.37,10.38,11.06,12.56
323.038,8.68,10.4,11.93,9.26,10.96,10.86,11.34,10.38,11,10.84
323.409,8.64,10.34,11.93,9.26,10.88,10.85,11.32,10.36,10.97,8.63
323.78,8.59,10.26,11.73,9.18,10.73,10.8,11.22,10.29,10.93,12.03
324.151,8.48,10.28,11.68,9.16,10.69,10.8,11.15,10.29,10.88,11
324.521,8.4,10.17,11.65,9.15,10.55,10.78,10.95,10.25,10.86,13.02
324.892,8.41,10.22,11.51,9.13,10.55,10.76,10.93,10.2,10.83,12.29
325.262,8.29,10.19,11.47,9.06,10.55,10.62,10.91,10.2,10.76,11.76
325.633,8.27,10.08,11.33,9.04,10.5,10.57,10.88,10.19,10.68,11.98
326.004,8.12,10.03,11.22,8.96,10.48,10.45,10.8,10.1,10.65,10.71
326.374,8.16,9.95,11.12,8.97,10.4,10.48,10.84,10.08,10.6,9.11
326.744,8.01,9.85,11.06,8.94,10.41,10.46,10.73,10.01,10.53,10.91
327.115,7.93,9.89,11.08,8.83,10.4,10.43,10.69,9.87,10.54,11.41
327.485,7.71,9.77,10.98,8.67,10.28,10.34,10.57,9.8,10.42,11.31
327.855,7.62,9.82,10.99,8.61,10.24,10.3,10.6,9.75,10.41,10.94
328.226,7.66,9.79,10.94,8.56,10.09,10.2,10.58,9.72,10.31,11
328.596,7.6,9.73,10.89,8.44,10.09,10.18,10.61,9.71,10.23,12.57
328.966,7.55,9.67,10.87,8.39,10.1,10.18,10.58,9.67,10.2,11.25
329.336,7.43,9.62,10.77,8.39,10,10.17,10.51,9.59,10.12,11
329.706,7.41,9.7,10.83,8.43,9.94,10.15,10.53,9.55,10.11,11.82
330.076,7.35,9.69,10.76,8.27,9.86,10.11,10.48,9.41,10.03,9.89
330.447,7.31,9.69,10.72,8.19,9.77,9.88,10.35,9.33,9.98,11.32
330.816,7.3,9.64,10.67,8.08,9.69,9.78,10.26,9.27,9.94,10.26
331.186,7.28,9.62,10.54,7.99,9.62,9.74,10.16,9.22,9.92,11.31
331.556,7.35,9.67,10.45,7.92,9.59,9.7,10.07,9.12,9.83,11.22
331.926,7.38,9.65,10.42,7.95,9.64,9.65,10.02,9.14,9.75,10.85
332.296,7.31,9.61,10.29,7.89,9.67,9.65,9.96,9.07,9.73,9.34
332.666,7.34,9.62,10.27,7.92,9.62,9.54,9.93,8.99,9.69,10.31
333.036,7.22,9.47,10.1,7.87,9.55,9.4,9.74,8.87,9.55,9.09
333.405,7.26,9.43,10.07,7.81,9.62,9.38,9.72,8.84,9.52,10.94
333.775,7.08,9.34,9.95,7.59,9.57,9.24,9.59,8.78,9.43,9.52
334.144,7.11,9.33,9.87,7.6,9.51,9.24,9.62,8.79,9.37,9.16
334.514,7.02,9.27,9.72,7.46,9.49,9.19,9.56,8.76,9.28,9.51
334.884,6.94,9.22,9.58,7.43,9.48,9.15,9.53,8.66,9.19,8.02
335.253,6.87,9.12,9.54,7.47,9.44,9.07,9.46,8.63,9.07,9.92
335.623,6.86,9.04,9.51,7.51,9.49,9.04,9.47,8.66,9.07,10.49
